1,2,蛇口からみかんジュースが出るという噂が流れ、本当に作ってしまった県はどこでしょう？,愛媛,和歌山,沖縄,大分
2,2,日本ウイスキーの父と言われる「竹鶴政孝」が独立して蒸留所を作ったのはどこでしょう？,北海道,大阪,青森,滋賀
3,2,大分県と愛媛県の間に位置し、関サバ・関アジ等が有名なのは　何水道？,豊後,越後,日本,下関
4,2,北極・南極を中心とする地域で、日の出前および日没後のかなり長い時間にわたって薄明が続く現象をなんというでしょう？,白夜,明夜,眩夜,光夜
5,2,三陸海岸等に見られる。せまい湾が複雑に入り込んだ沈水海岸のことをなんと呼ぶでしょう？,リアス式海岸,海蝕海岸,ダルマチア式海岸,フィヨルド
6,2,フランスの北東部に位置し、第一次世界対戦の激戦区で「肉挽器」と呼ばれた場所はどこでしょう？,ヴェルダン,ソンム,マルヌ,イゾンツォ
7,2,香川にある神社で、「こんぴらさん」の愛称で親しまれているのは次のうちどこでしょう？,金刀毘羅宮,伊勢神宮,出雲大社,宇佐八幡宮
8,2,高知県の西側を流れる河で、日本最後の清流と呼ばれるのはどこでしょう？,四万十川,石手川,吉野川,仁淀川
9,2,大分県にある観光名所で地獄めぐりがありますが、その中でワニが飼育されているのは次のうちどれでしょう？,鬼山地獄,血の池地獄,海地獄,白池地獄
10,2,愛媛県の伝統産業で、日本三大絣の一つに数えられるのは次のうちどれでしょう？,伊予絣,松山絣,久留米絣,備後絣
11,2,「太陽のタマゴ」で有名なマンゴーの産地は次のうちどれでしょう？,宮崎,大分,福岡,沖縄
12,2,世界で一番高い山として知られる「エベレスト」が存在するのは次のうちどこでしょう？,ネパール,ブータン,インド,ミャンマー
13,2,「明治日本の産業革命」を象徴するものとして、世界遺産に登録されたのは次のうちどれでしょう？,軍艦島,青島,鹿島,硫黄島
14,2,日本の四大公害病として知られるのは、「イタイイタイ病」「四日市ぜんそく」「第二水俣病」あと一つは何でしょう？,水俣病,第一水俣病,デング熱,黄熱病
15,2,北海道夕張市のブランドで有名なのは次のうちどれでしょう？,メロン,ぶどう,みかん,キウイ
16,2,地中海に面し、国の形がブーツの形状をしているのは次のうちどこでしょう？,イタリア,フランス,スペイン,イギリス
17,2,日本三大盆踊りの一つ、「阿波踊り」が開催されるのは次のうちどこでしょう？,徳島,愛媛,高知,香川
18,2,「よさこい」発祥の地として有名なのは次のうちどこでしょう？,高知,北海道,名古屋,仙台
19,2,アマゾン川で潮流が川を逆流する現象をなんといいますか？,ポロロッカ,パロロッカ,ピロロッカ,ボクロッカー
20,2,2015年3月14日に開業した上野と東京を経由し東北本線と東海道線を結ぶ運転系統の名前は？,上野東京ライン,湘南新宿ライン,東北東海ライン,伊豆宇都宮ライン
21,2,福島県の民謡で「宝の山」と謳われている山といえば？,磐梯山,会津駒ケ岳,燧ケ岳,飯豊山
22,2,日本で一番広い湖は琵琶湖ですが、二番目に広い湖といえば？,霞ヶ浦,サロマ湖,猪苗代湖,十和田湖
23,2,地名の前に東西南北が全てつく唯一の駅の名前は？,浦和,新宿,横浜,大阪
24,2,神戸と淡路島を結ぶ世界最大の吊り橋といえば次のうちどれでしょう？,明石海峡大橋,瀬戸大橋,鳴門海峡大橋,角島大橋
25,2,讃岐うどんの産地として有名で、映画「UDON」の舞台となったのは次のうちどこでしょう？,香川,広島,大阪,徳島
26,2,大分にある洞門で、日本最古の有料道路といわれているのは次のうちどれか？,青の洞門,赤の洞門,黄の洞門,緑の洞門
27,2,四国にある八十八ヶ所の霊場を巡拝することをなんというでしょうか？,四国遍路,四国霊場巡り,四国行脚,四国修行
28,2,２年以上連続して凍結した状態の土壌を指す言葉はなんでしょうか？,永久凍土,氷楔 ,エドマ,アラス
29,2,札幌で開催される雪の祭典で、巨大な氷の像などが展示されるのは次のうちどれでしょう？,札幌雪まつり,函館クリスマスファンタジー,函館雪まつり,札幌クリスマスファンタジー
